aX,aY,aZ,gX,gY,gZ
-1.235,-1.701,1.837,23.66,141.26,173.53
-1.237,-1.758,1.922,53.27,105.14,225.26
-1.161,-1.824,1.832,88.13,51.45,300.3
-0.99,-2.054,1.613,137.27,-20.86,380.1
-0.629,-2.471,1.174,190.05,-123.76,430.57
-0.472,-3.016,0.717,237.93,-166.53,432.81
-0.248,-3.571,0.171,256.69,-153.58,374.43
-0.164,-3.917,-0.552,238.21,-71.47,272.16
0.064,-3.738,-1.15,127.47,61.18,129.15
0.473,-3.283,-1.18,43.33,175.0,34.93
0.827,-2.975,-0.653,9.59,218.89,-34.93
1.165,-2.522,-0.061,-5.04,202.3,-71.89
1.305,-2.083,0.35,-10.78,150.15,-94.29
1.202,-1.647,0.508,-25.76,86.1,-106.75
1.033,-1.201,0.482,-37.59,8.61,-102.97
0.683,-0.881,0.343,-39.97,-32.55,-87.43
0.41,-0.725,0.194,-32.48,-62.72,-70.7
0.133,-0.69,0.01,-21.49,-82.04,-59.85
-0.112,-0.701,-0.175,-9.8,-90.44,-53.62
-0.321,-0.719,-0.348,-2.31,-89.95,-49.0
